"body.mass" "running.speed" "hind.l.length" "mtf.ratio" "branch.lengths" "names.contr" "clade.contr"
"1" 1.700975e-04  3.214305e-06  4.790575e-05  4.489142e-05 6827.274 03-02 root
"2" 7.453909e-05  2.903185e-05  3.002332e-05  5.754811e-06 8038.687 05-10 Carnivore
"3" 5.174944e-05 -4.056132e-05 -3.858040e-06 -2.385951e-05 8298.009 06-21 Carnivore
"4" 1.815983e-04  3.573241e-05  6.413020e-05 -9.273921e-06 8143.288 31-93 Carnivore
"5" 1.471241e-04 -1.319687e-05  1.497051e-05  5.477824e-06 3000.000 95-Um Carnivore
"6" 1.152669e-05 -3.959062e-05  5.563538e-05 -2.941115e-06 2000.000 Tm-Ur Carnivore
"7" 1.858593e-06  9.262418e-06  1.502590e-05 -1.389484e-06 7035.624 92-07 Carnivore
"8" 6.376586e-05 -1.617585e-05  1.828616e-05  9.132144e-06 3162.278 Nn-pl Carnivore
"9" 1.053857e-04  4.316529e-05  3.700009e-05  7.574428e-06 6324.555 Mp-Ml Carnivore
"10" 7.149828e-05 -1.632736e-05  7.601435e-06 -1.092939e-05 3659.182 22-Vf Carnivore
"11" 1.581781e-04 -3.627523e-06  5.563244e-05 -1.270411e-05 3799.671 28-Uc Carnivore
"12" 1.190721e-04  2.342226e-05  5.072760e-05 -5.087633e-06 3178.878 32-Ca Carnivore
"13" 1.595962e-05 -1.631209e-05 -5.748838e-06  1.659387e-05 2179.449 34-Lp Carnivore
"14" 1.895842e-04 -3.011260e-06  5.823603e-05  4.883723e-06 2236.068 Cp-Ct Carnivore
"15" 5.007159e-05  2.021243e-05  1.323196e-05  9.029358e-06 6676.245 18-23 Carnivore
"16" 9.103203e-05  3.603205e-05 -5.051186e-06  1.633171e-05 3162.278 Hh-Cc Carnivore
"17" 6.170761e-05 -6.780078e-05 -1.377645e-06 -1.765183e-05 4054.319 Aj-35 Carnivore
"18" 2.401827e-04 -9.315615e-06  7.027320e-05 -2.734543e-05 2000.000 Pp-36 Carnivore
"19" 7.129211e-06 -1.133199e-05 -2.140555e-06 -1.619316e-06 2000.000 Pt-Pl Carnivore
"20" 4.521799e-05 -8.336624e-06 -4.796629e-06 -3.983013e-05 8139.124 04-88 Herbivore
"21" 4.682378e-05 -3.158627e-05  1.915184e-06 -5.530485e-05 8989.298 99-26 Herbivore
"22" 8.192382e-05 -7.909759e-06  1.171110e-05  3.958067e-06 9669.540 Tb-16 Herbivore
"23" 4.350812e-05 -5.006306e-05  7.611682e-06 -6.372836e-06 5099.020 Cs-Db Herbivore
"24" 4.719797e-05  0.000000e+00  1.372095e-05 -2.325017e-05 3316.625 Eh-29 Herbivore
"25" 4.994085e-05  0.000000e+00  5.698619e-06  6.158360e-06 3464.102 Ec-Eb Herbivore
"26" 1.306416e-05 -2.371147e-05  8.784521e-06 -3.116480e-05 7722.447 77-08 Herbivore
"27" 1.289095e-04 -4.108093e-05  3.981445e-05 -4.871861e-06 5916.080 Lg-Cd Herbivore
"28" 1.842446e-04 -7.536162e-06  6.346908e-05  1.152158e-04 4884.580 Gc-09 Herbivore
"29" 7.585822e-05 -3.364645e-05 -3.694959e-06 -5.291358e-05 3542.002 12-11 Herbivore
"30" 2.654308e-04  8.539973e-06  5.102129e-05 -3.812121e-05 3968.619 24-13 Herbivore
"31" 2.720538e-05 -1.620082e-05 -1.556275e-06 -3.258677e-05 5744.563 98-To Herbivore
"32" 3.233900e-05 -1.718827e-06 -4.440367e-06  2.414945e-05 4472.136 Sc-Bb Herbivore
"33" 2.199365e-04 -2.913198e-05  5.746722e-05 -4.664347e-05 3928.833 19-14 Herbivore
"34" 2.027565e-04  7.886794e-05  7.011155e-05  7.275268e-05 4261.087 90-Mk Herbivore
"35" 5.661144e-06  3.156351e-05  2.994098e-06 -1.958130e-05 3570.714 27-Ac Herbivore
"36" 2.165078e-04  0.000000e+00  4.318553e-05 -1.468834e-05 2236.068 Gg-Gt Herbivore
"37" 3.354042e-05  4.003060e-05  1.694479e-05  6.053150e-05 4803.046 97-91 Herbivore
"38" 4.439815e-05 -5.753279e-05 -1.458136e-05 -1.172796e-04 2828.427 Oa-Oc Herbivore
"39" 8.284959e-05 -1.805042e-05  2.915414e-06 -5.870920e-05 3695.624 He-20 Herbivore
"40" 1.547953e-04  6.852647e-05  2.206725e-05 -7.163218e-05 3119.251 Am-30 Herbivore
"41" 6.928188e-05  9.533817e-06  8.751163e-06 -4.808329e-05 3041.381 Cu-33 Herbivore
"42" 7.406424e-06  2.191890e-05  1.939135e-07 -3.017376e-05 2645.751 Dl-Ab Herbivore
"43" 7.496524e-05 -3.127992e-05  2.303792e-05 -7.427448e-06 5661.848 Aa-17 Herbivore
"44" 6.597946e-06 -5.498392e-06  2.522533e-05 -2.289942e-06 4047.866 96-37 Herbivore
"45" 2.604835e-04  1.570454e-05  6.363306e-05 -5.532796e-06 2828.427 cc-Dd Herbivore
"46" 2.360972e-04 -3.401862e-05  4.935201e-05 -1.135199e-05 2892.822 Al-38 Herbivore
"47" 6.081574e-05  3.482410e-05  3.391158e-05 -1.152690e-05 3082.207 Rt-39 Herbivore
"48" 8.015541e-05 -1.474327e-05 -1.023415e-05 -2.778552e-05 1414.214 Ov-Oh Herbivore
