"Tips" "body.mass" "running.speed" "hind.l.length" "mtf.ratio" "clade"
"1" Tm 2.4232459 1.602060 1.925518 0.2138914 Carnivore
"2" Ur 2.4001925 1.681241 1.814248 0.2197737 Carnivore
"3" Um 1.9703469 1.681241 1.824971 0.2003991 Carnivore
"4" Nn 0.6434527 1.431364 1.359646 0.2649813 Carnivore
"5" pl 0.8450980 1.380211 1.417472 0.2938596 Carnivore
"6" Mp 0.3979400 1.204120 1.165838 0.2652439 Carnivore
"7" Ml 1.0644580 1.477121 1.399847 0.3131488 Carnivore
"8" Cp 1.5477747 1.806180 1.770999 0.4368771 Carnivore
"9" Ct 1.1238516 1.812913 1.640779 0.4259567 Carnivore
"10" Lp 1.3010300 1.845098 1.718419 0.3952514 Carnivore
"11" Ca 0.9444827 1.748188 1.549249 0.4342657 Carnivore
"12" Uc 0.5682017 1.806180 1.433610 0.4729345 Carnivore
"13" Vf 0.6812412 1.857332 1.537567 0.4828358 Carnivore
"14" Hh 1.4281348 1.698970 1.739018 0.3129799 Carnivore
"15" Cc 1.7160033 1.812913 1.723045 0.3646253 Carnivore
"16" Aj 1.7693773 2.041393 1.822430 0.4382693 Carnivore
"17" Pp 1.7193313 1.778151 1.729003 0.4008850 Carnivore
"18" Pt 2.2068259 1.748188 1.867409 0.3445748 Carnivore
"19" Pl 2.1925675 1.770852 1.871690 0.3478134 Carnivore
"20" Tb 2.3979400 1.602060 1.872448 0.3054339 Herbivore
"21" Cs 3.3010300 1.397940 2.005095 0.3274590 Herbivore
"22" Db 3.0791812 1.653213 1.966283 0.3599542 Herbivore
"23" Eh 2.3010300 1.845098 1.886829 0.8721237 Herbivore
"24" Ec 2.5440680 1.845098 1.942207 0.8056782 Herbivore
"25" Eb 2.3710679 1.845098 1.922466 0.7843450 Herbivore
"26" Lg 1.9777236 1.748188 1.886998 0.7063032 Herbivore
"27" Cd 2.7403627 1.505150 2.122544 0.6774809 Herbivore
"28" Gc 3.0314085 1.778151 2.203305 1.4161074 Herbivore
"29" Sc 2.7923917 1.755875 2.004880 0.5718346 Herbivore
"30" Bb 2.9370161 1.748188 1.985022 0.6798343 Herbivore
"31" To 2.7084209 1.845098 2.003891 0.8130312 Herbivore
"32" Gg 1.7958800 1.908485 1.820924 1.1046804 Herbivore
"33" Gt 1.3117539 1.908485 1.724358 1.1375246 Herbivore
"34" Ac 1.5740313 2.021189 1.783332 1.0511833 Herbivore
"35" Mk 0.6989700 1.623249 1.478711 0.7795648 Herbivore
"36" Oa 2.0549959 1.518514 1.817235 0.4481262 Herbivore
"37" Oc 1.9294189 1.681241 1.858477 0.7798430 Herbivore
"38" He 2.3550682 1.748188 1.926342 0.7617450 Herbivore
"39" Am 1.7263196 1.672098 1.869584 1.1279817 Herbivore
"40" Cu 2.3344538 1.903090 1.954243 0.8175896 Herbivore
"41" Dl 2.1139434 1.845098 1.927370 1.0037453 Herbivore
"42" Ab 2.1335389 1.903090 1.927883 0.9239130 Herbivore
"43" Aa 1.6989700 2.000000 1.822430 1.0004824 Herbivore
"44" cc 2.4771213 1.857332 1.986772 0.9556962 Herbivore
"45" Dd 1.7403627 1.812913 1.806790 0.9713453 Herbivore
"46" Al 2.5843312 1.748188 2.092721 0.9326683 Herbivore
"47" Rt 2.0000000 1.903090 2.004966 0.9468085 Herbivore
"48" Ov 1.7558749 1.806180 1.907680 1.0019841 Herbivore
"49" Oh 1.8692317 1.785330 1.893207 0.9626895 Herbivore
