"Tm" "Ur" "Um" "Nn" "pl" "Mp" "Ml" "Cp" "Ct" "Lp" "Ca" "Uc" "Vf" "Hh" "Cc" "Aj" "Pp" "Pt" "Pl" "Tb" "Cs" "Db" "Eh" "Ec" "Eb" "Lg" "Cd" "Gc" "Sc" "Bb" "To" "Gg" "Gt" "Ac" "Mk" "Oa" "Oc" "He" "Am" "Cu" "Dl" "Ab" "Aa" "cc" "Dd" "Al" "Rt" "Ov" "Oh"
"Tm" 7e+07 6.8e+07 6.5e+07 2.6e+07 2.6e+07 2.6e+07 2.6e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ur" 6.8e+07 7e+07 6.5e+07 2.6e+07 2.6e+07 2.6e+07 2.6e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Um" 6.5e+07 6.5e+07 7e+07 2.6e+07 2.6e+07 2.6e+07 2.6e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nn" 2.6e+07 2.6e+07 2.6e+07 7e+07 6.5e+07 3.9e+07 3.9e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"pl" 2.6e+07 2.6e+07 2.6e+07 6.5e+07 7e+07 3.9e+07 3.9e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mp" 2.6e+07 2.6e+07 2.6e+07 3.9e+07 3.9e+07 7e+07 5e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ml" 2.6e+07 2.6e+07 2.6e+07 3.9e+07 3.9e+07 5e+07 7e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cp" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 7e+07 67500000 6.7e+07 6.4e+07 6.1e+07 60500000 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ct" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 67500000 7e+07 6.7e+07 6.4e+07 6.1e+07 60500000 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lp" 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 1.8e+07 6.7e+07 6.7e+07 7e+07 6.4e+07 6.1e+07 60500000 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 1.2e+07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
