"svl" "svl.matur" "hatsvl" "hatweight" "clutch.size" "age.mat" "cl.freq" "contr"
"1" -0.016172685 -0.014528290 -0.003709987 -7.378110e-03 -0.0211861115  3.264719e-02 -0.033348887 ss-01
"2"  0.040828554  0.036862468  0.022144328  6.995843e-02  0.0728662366 -3.285485e-02  0.109124578 Sa-Sh
"3"  0.010598375  0.010437495  0.018614523  5.485545e-02 -0.0214791199  3.350370e-02 -0.012244283 ps-zl
"4"  0.020722628  0.016810106  0.002318361  1.136782e-02  0.0665660432  3.255933e-04  0.021082149 pa-at
"5"  0.065037724  0.063467069  0.031009723  1.144037e-01  0.0862691959 -5.719585e-02  0.036254020 al-pp
"6"  0.094212659  0.085596135  0.052696541  1.573180e-01  0.1043867639 -2.108639e-02  0.061803130 Tl-mm
"7" -0.007365996 -0.008649638 -0.007777378 -2.769090e-02  0.0364164140  5.083317e-02  0.011949039 Mc-My
"8" -0.002907776 -0.006971667  0.001428549 -2.140164e-06 -0.0409986396 -6.594805e-21 -0.046085328 bh-Pm
"9" -0.008251617 -0.011252145 -0.012510163 -4.036491e-02  0.0445353657  6.727561e-21  0.008286849 Pb-ha
"10" -0.015571731 -0.022242893 -0.012306375 -4.049818e-02  0.0002065522  0.000000e+00  0.015421132 hh-Pa
"11" -0.031360754 -0.033799504 -0.018679909 -4.532005e-02 -0.0775836481  0.000000e+00  0.000000000 Ph-Pg
"12" -0.020529140 -0.019041611 -0.040721853 -1.446304e-01 -0.0119636337  9.277378e-02 -0.004883221 tt-Ae
"13" -0.022320495 -0.022550305 -0.004496150 -4.468168e-02  0.0102202110  4.648136e-02 -0.070964883 Tt-Ts
"14" -0.038021044 -0.046914096 -0.033883474 -1.139462e-01 -0.0346165758  0.000000e+00 -0.026279358 zz-ll
"15"  0.006329967  0.003157288  0.009569560 -2.347866e-02 -0.0456340949  0.000000e+00  0.000000000 Zv-Zo
"16" -0.043443415 -0.036151481 -0.019755667 -4.449547e-02 -0.0677821915  0.000000e+00  0.008341204 La-sv
"17"  0.011472634  0.009497014 -0.003696540 -1.711281e-02  0.0510455044  0.000000e+00  0.034133286 Ls-Lv
