"Tips" "svl" "svl-matur" "hatsvl" "hatweight" "clutch-size" "age-mat" "cl-freq"
"1" Sa 1.840106 1.763428 1.444045 -0.24260400 0.7781513 1.113943 0.1760913
"2" Sh 1.684845 1.623249 1.359835 -0.50863830 0.5010593 0.698970 0.3010300
"3" Tl 2.226342 2.120574 1.631444  0.34927750 1.2289130 1.278754 0.0000000
"4" Mc 1.820201 1.748188 1.397940 -0.35556140 0.8561244 1.041393 0.1760913
"5" My 1.845718 1.778151 1.424882 -0.25963730 0.7299743 1.000000 0.0000000
"6" Pb 1.741939 1.643453 1.380211 -0.51712640 0.6190933 0.903090 0.3010300
"7" Ph 1.695482 1.591065 1.376577 -0.50863830 0.3263359 0.903090 0.3010300
"8" Pg 1.787460 1.690196 1.431364 -0.37571790 0.5538830 0.903090 0.3010300
"9" Pa 1.800029 1.724276 1.450249 -0.28988260 0.4393327 0.845098 0.3010300
"10" Pm 1.767156 1.690196 1.394452 -0.45222530 0.7160033 1.079181 0.3010300
"11" Tt 1.728354 1.662758 1.352183 -0.66958620 0.5314789 0.845098 0.4771213
"12" Ts 1.812913 1.748188 1.369216 -0.50031290 0.4927604 1.113943 0.3010300
"13" Ae 1.856729 1.785330 1.531479  0.02160272 0.5622929 1.000000 0.0000000
"14" Zv 1.744293 1.643453 1.318063 -0.75202670 0.6473830 1.041393 0.0000000
"15" Zo 1.724276 1.633468 1.287802 -0.67778070 0.7916906 1.041393 0.0000000
"16" La 1.835056 1.792392 1.424882 -0.26760620 0.7634280 1.176091 0.0000000
"17" Ls 2.035430 1.959041 1.499687 -0.11520460 1.1367210 1.204120 0.0000000
"18" Lv 1.993436 1.924279 1.513218 -0.05256628 0.9498777 1.079181 0.0000000
