"Sa" "Sh" "Tl" "Mc" "My" "Pb" "Ph" "Pg" "Pa" "Pm" "Tt" "Ts" "Ae" "Zv" "Zo" "La" "Ls" "Lv"
"Sa" 14.43457 7.20412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sh" 7.20412 14.43457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tl" 0 0 33.08778 25.85733 25.85733 19.85733 19.85733 19.85733 19.85733 19.85733 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Mc" 0 0 25.85733 39.06145 33.06145 19.85733 19.85733 19.85733 19.85733 19.85733 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"My" 0 0 25.85733 33.06145 39.06145 19.85733 19.85733 19.85733 19.85733 19.85733 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Pb" 0 0 19.85733 19.85733 19.85733 39.74943 33.27231 33.27231 33.27231 26.97128 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Ph" 0 0 19.85733 19.85733 19.85733 33.27231 49.86559 45.56456 39.57334 26.97128 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Pg" 0 0 19.85733 19.85733 19.85733 33.27231 45.56456 49.86559 39.57334 26.97128 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Pa" 0 0 19.85733 19.85733 19.85733 33.27231 39.57334 39.57334 45.57334 26.97128 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Pm" 0 0 19.85733 19.85733 19.85733 26.97128 26.97128 26.97128 26.97128 33.67025 13.25527 13.25527 13.25527 6.95424 6.95424 6.95424 6.95424 6.95424
"Tt" 0 0 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 33.43136 26.25527 19.5563 6.95424 6.95424 6.95424 6.95424 6.95424
"Ts" 0 0 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 26.25527 33.43136 19.5563 6.95424 6.95424 6.95424 6.95424 6.95424
"Ae" 0 0 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 13.25527 19.5563 19.5563 26.85733 6.95424 6.95424 6.95424 6.95424 6.95424
"Zv" 0 0 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 25.59572 20.59572 13.25527 13.25527 13.25527
"Zo" 0 0 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 20.59572 25.59572 13.25527 13.25527 13.25527
"La" 0 0 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 13.25527 13.25527 27.33445 20.33445 20.33445
"Ls" 0 0 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 13.25527 13.25527 20.33445 33.73239 27.03342
"Lv" 0 0 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 6.95424 13.25527 13.25527 20.33445 27.03342 33.73239
