"sim.counter" "Tips" "y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "diet"
"1"  0 Sa 1.840106 1.763428 1.444045 -0.242604000  0.7781513000 1.1139434  0.1760913000 -0.7036739014 "Carnivore"
"2"  0 Sh 1.684845 1.623249 1.359835 -0.508638300  0.5010593000 0.6989700  0.3010300000 -0.5668294609 "Carnivore"
"3"  0 Tl 2.226342 2.120574 1.631444  0.349277500  1.2289130000 1.2787536  0.0000000000 -0.4696147277 "Carnivore"
"4"  0 Mc 1.820201 1.748188 1.397940 -0.355561400  0.8561244000 1.0413927  0.1760913000  0.1907470977 "Carnivore"
"5"  0 My 1.845718 1.778151 1.424882 -0.259637300  0.7299743000 1.0000000  0.0000000000  2.2466319870 "Herbivore"
"6"  0 Pb 1.741939 1.643453 1.380211 -0.517126400  0.6190933000 0.9030900  0.3010300000 -0.3859215152 "Herbivore"
"7"  0 Ph 1.695482 1.591065 1.376577 -0.508638300  0.3263359000 0.9030900  0.3010300000  0.0615788052 "Herbivore"
"8"  0 Pg 1.787460 1.690196 1.431364 -0.375717900  0.5538830000 0.9030900  0.3010300000  0.9967845443 "Herbivore"
"9"  0 Pa 1.800029 1.724276 1.450249 -0.289882600  0.4393327000 0.8450980  0.3010300000  0.1203827852 "Herbivore"
"10"  0 Pm 1.767156 1.690196 1.394452 -0.452225300  0.7160033000 1.0791812  0.3010300000 -1.1113200174 "Ommnivore"
"11"  0 Tt 1.728354 1.662758 1.352183 -0.669586200  0.5314789000 0.8450980  0.4771213000  1.0250184847 "Ommnivore"
"12"  0 Ts 1.812913 1.748188 1.369216 -0.500312900  0.4927604000 1.1139434  0.3010300000 -0.5187136351 "Ommnivore"
"13"  0 Ae 1.856729 1.785330 1.531479  0.021602720  0.5622929000 1.0000000  0.0000000000 -0.0194432669 "Ommnivore"
"14"  0 Zv 1.744293 1.643453 1.318063 -0.752026700  0.6473830000 1.0413927  0.0000000000  1.1796493944 "Ommnivore"
"15"  0 Zo 1.724276 1.633468 1.287802 -0.677780700  0.7916906000 1.0413927  0.0000000000 -1.6645334854 "Ommnivore"
"16"  0 La 1.835056 1.792392 1.424882 -0.267606200  0.7634280000 1.1760913  0.0000000000 -1.6788628523 "Ommnivore"
"17"  0 Ls 2.035430 1.959041 1.499687 -0.115204600  1.1367210000 1.2041200  0.0000000000  0.0516529088 "Ommnivore"
"18"  0 Lv 1.993436 1.924279 1.513218 -0.052566280  0.9498777000 1.0791812  0.0000000000 -0.7986002967 "Ommnivore"
"19"  1 Sa 1.985893 1.806702 1.419645 -0.277370400  0.5895410000 1.0755832  0.2711289000  1.0450020453 "Carnivore"
"20"  1 Sh 1.905432 1.788131 1.444946 -0.477044700  0.5917300000 1.0389877  0.3650351000  0.3005589607 "Carnivore"
"21"  1 Tl 1.989338 1.870954 1.440087  0.062522640  0.9646544000 1.0220823  0.4772450000  0.0697424296 "Carnivore"
"22"  1 Mc 1.912441 1.918416 1.492748 -0.310029200  1.2079720000 0.8724802  0.5740820000 -1.0083900651 "Carnivore"
"23"  1 My 1.915241 1.716407 1.538754 -0.444233400  1.0959060000 0.9375944  0.3115703000 -0.3066572926 "Herbivore"
"24"  1 Pb 1.938869 1.689250 1.467212 -0.433990600  1.1417110000 1.1601559  0.4004093000  0.1149444950 "Herbivore"
"25"  1 Ph 2.199665 1.775279 1.360163 -0.453440900  1.0973110000 1.0820104  0.6906043000 -0.7738729487 "Herbivore"
"26"  1 Pg 2.204046 1.663259 1.374734 -0.409130800  0.9891526000 1.1323862  0.5950186000 -0.2701368989 "Herbivore"
"27"  1 Pa 2.063315 1.796488 1.375163 -0.301106500  0.9345593000 0.9749876  0.5825278000  1.0962028873 "Herbivore"
"28"  1 Pm 1.954526 1.774511 1.501438 -0.140119700  0.9099776000 0.9549199  0.3009589000  0.0810773798 "Ommnivore"
"29"  1 Tt 2.006660 1.656189 1.493136 -0.166421500  0.8621511000 1.1943540  0.4520324000  0.3352396693 "Ommnivore"
"30"  1 Ts 1.976514 1.798900 1.524890 -0.181347900  0.8321770000 1.3318923  0.1855446000 -0.3259215877 "Ommnivore"
"31"  1 Ae 1.950228 1.855470 1.526271 -0.155905600  1.0541110000 1.2396819  0.2023883000 -0.8308063090 "Ommnivore"
"32"  1 Zv 2.084225 1.702280 1.418280 -0.046058120  0.7601530000 1.1577620  0.2550462000 -0.7621297402 "Ommnivore"
"33"  1 Zo 2.109369 1.642864 1.477694 -0.097533050  0.6393662000 1.2817299  0.1344560000 -0.2038666615 "Ommnivore"
"34"  1 La 1.996273 1.625331 1.472110  0.308525300  0.7375771000 1.1269585  0.1942866000  1.5743400588 "Ommnivore"
"35"  1 Ls 1.797095 1.732799 1.381139  0.281117800  0.5096599000 1.0729219  0.6544802000  0.7567050066 "Ommnivore"
"36"  1 Lv 1.917407 1.653336 1.426432  0.136290300  0.8955403000 1.1933538  0.4920747000 -0.3926296029 "Ommnivore"
"37"  2 Sa 1.688714 1.474545 1.422577 -0.091216780  0.7038618000 0.9836189  0.0739376300 -0.9842706629 "Carnivore"
"38"  2 Sh 1.795365 1.525783 1.424237 -0.079616880  0.3175168000 0.8625690  0.1574645000 -0.7257968270 "Carnivore"
"39"  2 Tl 2.030005 1.883020 1.211990 -0.368761500  0.3463971000 1.1475958  0.1566754000 -0.5280337451 "Carnivore"
"40"  2 Mc 1.925424 1.860120 1.350400 -0.214223800  0.5135108000 1.0616026  0.2273772000  2.2421572142 "Carnivore"
"41"  2 My 1.795169 1.800779 1.356071  0.007310367  0.5030907000 1.1161276  0.3856312000  0.3991379365 "Herbivore"
"42"  2 Pb 1.774497 1.654845 1.380311 -0.298880800  0.8592811000 0.9160001  0.2683028000  0.8049947032 "Herbivore"
"43"  2 Ph 1.513465 1.741540 1.353644  0.110461900  0.5295130000 0.9031227  0.4237866000 -0.6173265365 "Herbivore"
"44"  2 Pg 1.524790 1.740750 1.311994  0.026437260  0.3662297000 0.9170256  0.4328835000 -1.3197615262 "Herbivore"
"45"  2 Pa 1.629615 1.665063 1.248945 -0.360888300  0.7456709000 0.8482350  0.4657628000 -0.8067543348 "Herbivore"
"46"  2 Pm 1.525250 1.671032 1.384433 -0.403983400  0.7716447000 0.9986893  0.1774189000  2.0870150891 "Ommnivore"
"47"  2 Tt 1.826606 1.593570 1.397869 -0.108352700  0.8618743000 1.3284505 -0.2073485000  1.0919835347 "Ommnivore"
"48"  2 Ts 1.845005 1.464718 1.411277 -0.424907400  0.9345344000 1.1813274  0.0308368800 -1.2143729658 "Ommnivore"
"49"  2 Ae 1.797393 1.602888 1.332855 -0.379702600  1.0896660000 1.1116095 -0.0155583900 -0.7594512673 "Ommnivore"
"50"  2 Zv 1.868562 1.851472 1.423644  0.278919700  0.6802011000 0.9789765  0.2138997000 -0.7029028522 "Ommnivore"
"51"  2 Zo 1.934119 1.815713 1.424373  0.221911600  0.8442855000 0.9046798  0.0614553600 -0.3500389169 "Ommnivore"
"52"  2 La 1.728872 2.012611 1.489615 -0.477692500  0.8393149000 0.7428845 -0.0105197500 -0.3530595414 "Ommnivore"
"53"  2 Ls 1.677577 2.120049 1.431642 -0.108539100  0.8066125000 0.9015249 -0.1980657000  0.2204663368 "Ommnivore"
"54"  2 Lv 1.852826 2.048835 1.414720 -0.719875600  0.9956343000 0.7548134 -0.0432755800  0.8894168608 "Ommnivore"
"55"  3 Sa 1.740207 1.633765 1.344714 -0.223177100  0.6597959000 1.1204664  0.4229772000 -1.2243926754 "Carnivore"
"56"  3 Sh 1.798314 1.657721 1.386366 -0.204582600  0.6708382000 0.9902791  0.1633638000 -1.8538540211 "Carnivore"
